OID,API,LeaseName,WellNumber,WellStatus,WellType,WellTypeLa,OperatorCo,OperatorNa,FieldName,AreaName,District,CountyName,Section,Township,Range,BaseMeridi,Latitude,Longitude,GISSource,isConfiden,isDirectio,SpudDate,WellSymbol
-1,402919711,Phippen,6,Plugged,DH,Dry Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,8,28S,20E,MD,35.50932693,-119.8494949,hud,N,N, ,PluggedDH
-1,402913452,Antelope Hills,60,Plugged,DH,Dry Hole,S3100,Shell Western E&P Inc.,Antelope Hills,Nepple Gas (ABD),Inland,Kern,5,28S,20E,MD,35.51615524,-119.8372345,hud,N,N, ,PluggedDH
-1,402913453,Antelope Hills,61,Plugged,DH,Dry Hole,S3100,Shell Western E&P Inc.,Antelope Hills,Nepple Gas (ABD),Inland,Kern,5,28S,20E,MD,35.51356125,-119.8400421,hud,N,N, ,PluggedDH
-1,402913432,Core Hole,62,Plugged,CH,Core Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.52801895,-119.8575592,hud,N,N, ,PluggedCH
-1,402913433,Core Hole,63,Plugged,CH,Core Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.53134155,-119.8564377,hud,N,N, ,PluggedCH
-1,402913461,Antelope Hills,64,Plugged,DH,Dry Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.52361679,-119.8584824,hud,N,N, ,PluggedDH
-1,402946151,Shell Hopkins,64X-31,Plugged,DH,Dry Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.53532028,-119.8563995,hud,N,N, ,PluggedDH
-1,402913434,Core Hole,66,Plugged,CH,Core Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.54120255,-119.8502655,hud,N,N, ,PluggedCH
-1,402913444,Hopkins A,66X-31,Plugged,DH,Dry Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.53237152,-119.8568573,hud,N,N, ,PluggedDH
-1,402913435,Core Hole,67,Plugged,CH,Core Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.54060745,-119.8509521,hud,N,N, ,PluggedCH
-1,403038877,Aera,67X-36,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,36,27S,19E,MD,35.53112411,-119.8747482,Operator,N,N,6/11/2009,PluggedOG
-1,402913505,Core Hole,69,Plugged,CH,Core Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,8,28S,20E,MD,35.51115417,-119.8474731,hud,N,N, ,PluggedCH
-1,402921748,Antelope Fee,1-Jul,Plugged,DH,Dry Hole,C5640,Chevron U.S.A. Inc.,Antelope Hills,Williams,Inland,Kern,7,28S,20E,MD,35.51242828,-119.8554382,hud,N,N, ,PluggedDH
-1,402913445,Hopkins A,71X-31,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.54120255,-119.8531876,GPS,N,N, ,PluggedOG
-1,402913436,Core Hole,72,Plugged,CH,Core Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.53106689,-119.8665314,hud,N,N, ,PluggedCH
-1,402913447,Hopkins Fee,72X-31,Plugged,DH,Dry Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.53950882,-119.8539658,mip,N,N, ,PluggedDH
-1,402913460,Antelope,73,Plugged,DH,Dry Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.52419281,-119.8534393,hud,N,N, ,PluggedDH
-1,402913456,Voigt Core Hole,74,Plugged,CH,Core Hole,S3100,Shell Western E&P Inc.,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.52625656,-119.8455429,hud,N,N, ,PluggedCH
-1,402919701,Voigt,74-6,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,6,28S,20E,MD,35.52096176,-119.8534088,hud,N,N, ,PluggedOG
-1,402913457,Voigt Core Hole,75,Plugged,CH,Core Hole,S3100,Shell Western E&P Inc.,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.52716446,-119.8450088,hud,N,N, ,PluggedCH
-1,402913458,Voigt Core Hole,76,Plugged,CH,Core Hole,S3100,Shell Western E&P Inc.,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.52141953,-119.842392,hud,N,N, ,PluggedCH
-1,402913446,Hopkins A,78-31,Plugged,DH,Dry Hole,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Hopkins,Inland,Kern,31,27S,20E,MD,35.52882385,-119.853363,hud,N,N, ,PluggedDH
-1,402901071,Pickrell-Williams,8,Plugged,DH,Dry Hole,P3300,D. J. Pickrell,Antelope Hills,Williams,Inland,Kern,5,28S,20E,MD,35.51845551,-119.8425598,hud,N,N, ,PluggedDH
-1,402913449,Williams,82-1,Plugged,OG,Oil & Gas,E0100,E & B Natural Resources Management Corporation,Antelope Hills,Williams,Inland,Kern,1,28S,19E,MD,35.52473831,-119.869339,GPS,N,N, ,PluggedOG
-1,402945904,Hopkins B,23-Jan,Canceled,OG,Oil & Gas,7819,Shell Oil Company,"Antelope Hills, North",Any Area,Inland,Kern,23,27S,19E,MD,35.56787109,-119.9007492,mip,N,N, ,CanceledOG
-1,403038523,Carlton Investment,15R-15,Canceled,OG,Oil & Gas,V1370,Vintage Production California LLC,"Antelope Hills, North",Any Area,Inland,Kern,15,27S,19E,MD,35.57629395,-119.9064331,Notice of Intent to Drill,N,N, ,CanceledOG
-1,403040181,Chapman Fee,358,Canceled,OG,Oil & Gas,V1370,Vintage Production California LLC,"Antelope Hills, North",Any Area,Inland,Kern,15,27S,19E,MD,35.58564377,-119.9188385,Notice of Intent to Drill,N,N, ,CanceledOG
-1,403042733,Carlton Investment,358A,Canceled,OG,Oil & Gas,V1370,Vintage Production California LLC,"Antelope Hills, North",Any Area,Inland,Kern,15,27S,19E,MD,35.57891846,-119.9070129,Notice of Intent to Drill,N,N, ,CanceledOG
-1,403042735,Carlton Investment,367A,Canceled,OG,Oil & Gas,V1370,Vintage Production California LLC,"Antelope Hills, North",Any Area,Inland,Kern,15,27S,19E,MD,35.57844543,-119.9088058,Notice of Intent to Drill,N,N, ,CanceledOG
-1,403061778,Lease by California Resources Production Corporation,36H-14,Canceled,OG,Oil & Gas,C0885,California Resources Production Corporation,"Antelope Hills, North",Any Area,Inland,Kern,14,27S,19E,MD,35.57451248,-119.8971863,Notice of Intent to Drill,N,N, ,CanceledOG
