,County,Sec-Twp_Rng,Company,Well,Location,Type,Permit Number,API Number,Objective,Date
452,White,7-4S-14W,"Campbell Energy, LLC",Knight #1,"330'N line, 330'E line of SE NE",OIL,65443,1.21933E+11,Fort Payne,Jan-18
453,White,7-4S-14W,"Campbell Energy, LLC",Treadway #1,"330'S line, 330'E line of NE NE",OIL,65439,1.21933E+11,Fort Payne,Jan-18
454,White,8-4S-14W,"Campbell Energy, LLC",Stone #1,"657'N line, 330'E line of NW NE",OIL,65448,1.21933E+11,Fort Payne,Jan-18
455,White,8-4S-14W,"Campbell Energy, LLC",Stone #2,"657'S line, 330'E line of SW NE",OIL,65447,1.21933E+11,Fort Payne,Jan-18
456,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #1","220'N line, 220'W line of NE NE NE",OIL,65836,1.20233E+11,St Louis,Jan-19
457,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #12","220'N line, 220'W line of SW NE NE",OIL,65838,1.20233E+11,St Louis,Jan-19
458,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #13","220'S line, 220'W line of SE NE NE",OIL,65839,1.20233E+11,St Louis,Jan-19
459,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #19","220'N line, 220'W line of NE SE NE",OIL,65840,1.20233E+11,St Louis,Jan-19
460,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #2","220'N line, 220'E line of NW NE NE",OIL,65837,1.20233E+11,St Louis,Jan-19
461,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #24","220'S line, 220'W line of NW SE NE",OIL,65841,1.20233E+11,St Louis,Jan-19
462,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #31","220'S line, 220'W line of SE SE NE",OIL,65842,1.20233E+11,St Louis,Jan-19
463,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #32","220'S line, 220'E line of SW SE NE",OIL,65843,1.20233E+11,St Louis,Jan-19
464,Clark,8-11N-14W,"Ashley Oil, Inc.",Redman #2-MI,"0'S line, 330'E line of NW NE NW",WI,204670,1.20233E+11,St Louis,Jan-19
465,Clark,8-11N-14W,"Ashley Oil, Inc.",Redman #3-MI,"0'S line, 330'W line of NE NE NW",WI,204669,1.20233E+11,St Louis,Jan-19
466,Clinton,21-1N-1W,"Stewart Producers, Inc.","Coe, Lester etal #6-WI","330'N line, 330'W line of SW NW",WI,204667,1.2027E+11,Cypress,Jan-19
467,Crawford,29-7N-12W,"Maus's Well Service, Inc.",Kirk #KW-11,"640'N line, 60'W line of NE SW SW",WI,204266,1.20334E+11,Robinson,Jan-19
468,Crawford,2-8N-14W,"Fain Oil, Inc.",Geffs #3-1W,"660'S line, 660'W line of NE NE",WI,204663,1.20334E+11,Borden,Jan-19
469,Fayette,6-7N-3E,Petco Petroleum Corp.,"Hobbs, Irvin #20-SWD","785'N line, 890'E line of NE",SWD,204662,1.20513E+11,Tar Spring,Jan-19
470,Gallatin,13-8S-9E,"T & B Production Co., LLC",Lawler #7,"330'S line, 330'W line of NE",OIL,65834,1.2059E+11,St Louis,Jan-19
471,Hamilton,36-6S-5E,"Brehm Oil Company, Inc.","Moore, M. C. #5-36","330'S line, 330'W line of SW NW SE",OIL,65833,1.20653E+11,Aux Vases,Jan-19
472,Jefferson,31-1S-1E,"Wood Energy, Inc.",Wacker #8,"430'N line, 990'E line of NW",OIL,65835,1.20813E+11,Trenton,Jan-19
473,Lawrence,8-2N-11W,Padgett Family Trust U/T/D,"Garvey, William #3-WI","990'N line, 1110'E line of NE",WI,204666,1.21013E+11,Cypress,Jan-19
474,Lawrence,8-2N-12W,"Woodcock Oil, LLC",Ruark #2,"674'S line, 330'E line of SE NW",OIL,65850,1.21013E+11,Salem,Jan-19
475,Lawrence,8-2N-12W,"Woodcock Oil, LLC",Ruark #2-A,"337'S line, 331'W line of NW NE",OIL,65851,1.21013E+11,Salem,Jan-19
476,Madison,9-4N-6W,"Kiec, Inc",Kettler #3-R,"330'N line, 330'E line of NW SW",WI,204671,1.21193E+11,"Moccasin,Springs",Jan-19
477,Marion,33-4N-4E,Deep Rock Energy Corp.,Warren #12-WI DIR,"435'S line, 216'E line of SE NW SW",WI,204665,1.21213E+11,Benoist,Jan-19
478,Richland,30-2N-11E,"Woodcock Oil, LLC",Koertge - Harrison #2,"335'S line, 335'W line of SE NE",OIL,65852,1.21593E+11,Cypress,Jan-19
479,Saline,21-8S-6E,Bufay Oil Company,Elder #1,"330'S line, 330'W line of SE NE",WI,204668,1.21652E+11,Aux Vases,Jan-19
480,Sangamon,27-15N-6W,Landgas Exploration & Prod. LLC,Theilen #1,"330'N line, 552'E line of NE NE NW",OIL,65854,1.21673E+11,Trenton,Jan-19
481,Sangamon,27-15N-6W,Landgas Exploration & Prod. LLC,Theilen #2,"29'N line, 427'E line of SE NE NW",OIL,65855,1.21673E+11,Trenton,Jan-19
482,Wabash,19-2S-13W,"Countrymark Energy Resources, LLC","Schmidt, Clarence #6","50'N line, 336'E line of SW NE",OIL,65849,1.21853E+11,Bridgeport,Jan-19
483,White,21-4S-14W,"Loeb, Herman L. LLC","Donald, Mary #1-21","1300'S line, 2310'W line of SW",OIL,65848,1.21933E+11,Fort Payne,Jan-19
484,White,21-4S-14W,"Loeb, Herman L. LLC",Ford #1-21,"560'N line, 430'E line of NW NW",OIL,65847,1.21933E+11,Fort Payne,Jan-19
485,White,21-4S-14W,"Loeb, Herman L. LLC",W. G. C. #1-21,"330'S line, 770'W line of SW SW",OIL,65846,1.21933E+11,Fort Payne,Jan-19
486,White,22-4S-14W,"Loeb, Herman L. LLC",Ford #1-22,"330'S line, 330'E line of NE NW",OIL,65844,1.21933E+11,Fort Payne,Jan-19
487,White,22-4S-14W,"Loeb, Herman L. LLC",Ford #2-22,"430'N line, 330'E line of NE SW",OIL,65845,1.21933E+11,Fort Payne,Jan-19
488,White,18-5S-11E,"Campbell Energy, LLC",Kempf #14,"330'N line, 330'W line of NW NW",OIL,65859,1.21933E+11,Fort Payne,Jan-19
489,White,4-5S-14W,Citation Oil & Gas Corp.,"Greathouse, E. S. #1","343'S line, 324'W line of NE",OIL,65853,1.21931E+11,Warsaw,Jan-19
490,White,18-5S-14W,"Campbell Energy, LLC",Kempf #15,"332'S line, 40'E line of SW SW",OIL,65860,1.21933E+11,Fort Payne,Jan-19
491,White,19-5S-14W,"Campbell Energy, LLC",Kempf #11,"333'S line, 375'E line of NE SE",OIL,65857,1.21933E+11,Fort Payne,Jan-19
492,White,19-5S-14W,"Campbell Energy, LLC",Kempf #12,"333'N line, 425'E line of SE SE",OIL,65856,1.21933E+11,Fort Payne,Jan-19
493,White,19-5S-14W,"Campbell Energy, LLC",Kempf #13,"158'N line, 144'E line of SW SE",OIL,65858,1.21933E+11,Fort Payne,Jan-19
494,White,29-6S-9E,Strata Oil Corp.,"O'Neal, J. R. #2","480'S line, 990'W line of SW SW",OIL,65832,1.21933E+11,McClosky,Jan-19
495,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #IJW-1","220'S line, 220'W line of NE NE NE",WI,204722,1.20233E+11,St Louis,Jan-20
496,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #IJW-15","220'N line, 0'W line of SW SE NE",WI,204723,1.20233E+11,St Louis,Jan-20
497,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #IJW-2","220'S line, 220'E line of NW NE NE",WI,204721,1.20233E+11,St Louis,Jan-20
498,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #IJW-4","220'N line, 220'W line of SE NE NE",WI,204719,1.20233E+11,St Louis,Jan-20
499,Clark,8-11N-14W,"ITB Oil, LLC","Rauwolf, K. #IJW-7","60'N line, 220'W line of NE SE NE",WI,204720,1.20233E+11,St Louis,Jan-20
500,Crawford,20-6N-11W,"Pioneer Oil Co., Inc.","Tohill, H. #2","330'S line, 330'E line of SW",GAS,66199,1.20333E+11,Spoon,Jan-20
501,Crawford,2-7N-13W,"Maus's Well Service, Inc.","Dart, H. #WI-4","30'N line, 10'E line of SE NW SW",WI,204729,1.20334E+11,Spoon,Jan-20
502,Crawford,2-7N-13W,"Maus's Well Service, Inc.","Dart, H. #WI-6","30'N line, 10'E line of SE SW SW",WI,204728,1.20334E+11,Spoon,Jan-20
503,Crawford,26-8N-14W,"Faithful Oil, LLC",Wiman #1-B,"330'N line, 330'E line of NW SE",OIL,66194,1.20334E+11,Yankeetow,Jan-20
504,Crawford,26-8N-14W,"Faithful Oil, LLC",Wiman #3-B,"670'N line, 670'W line of NW SE",OIL,66196,1.20334E+11,Gunter San,Jan-20
505,Crawford,26-8N-14W,"Faithful Oil, LLC",Wiman #4-B,"330'S line, 330'W line of NW SE",OIL,66195,1.20334E+11,Yankeetow,Jan-20
506,Franklin,30-5S-2E,"Stewart Producers, Inc.",Illinois Minerals #30-4 WI,"501'S line, 275'E line of NW NE SW",WI,204726,1.20553E+11,Aux Vases,Jan-20
507,Gallatin,33-7S-8E,"Countrymark Energy Resources, LLC",Bradley #1,"337'S line, 337'W line of SE SW",OIL,66198,1.20593E+11,Caseyville,Jan-20
508,Lawrence,4-2N-11W,"Padgett, W. Thomas",Haase #1-B,"330'S line, 343'E line of NW NW",OIL,66191,1.21013E+11,Salem,Jan-20
509,Lawrence,29-4N-12W,"CDG Operations, LLC","Lewis, J. B. #SWD-3","435'S line, 841'W line of SW",SWD,204725,1.21013E+11,Shakopee,Jan-20
510,Madison,10-4N-6W,"Kiec, Inc","Pence, William H. #2 HOR","330'S line, 330'E line of SW",OIL,66202,1.2119E+11,"Moccasin,Springs",Jan-20
511,Madison,15-4N-6W,"Kiec, Inc","Dietz, F. H. #3 HOR","330'N line, 330'E line of SE SW NW",OIL,66200,1.2119E+11,"Moccasin,Springs",Jan-20
512,Madison,15-4N-6W,"Kiec, Inc","Dietz, F. H. #4 HOR","330'N line, 330'E line of SW",OIL,66201,1.2119E+11,"Moccasin,Springs",Jan-20
513,Madison,15-4N-6W,"Kiec, Inc","Kauhl, C. Community #1,HOR","330'S line, 330'W line of NE NE",OIL,66203,1.2119E+11,"Moccasin,Springs",Jan-20
514,Marion,33-4N-4E,Deep Rock Energy Corp.,Miselbrook #3 DIR,"425'S line, 179'E line of NW SW",WI,204730,1.21213E+11,Grand Tow,Jan-20
515,Wabash,24-1N-12W,"Woodcock Oil, LLC",Marcotte #3,"330'N line, 340'E line of SW NE",WI,204724,1.21853E+11,Yankeetow,Jan-20
516,Washington,24-1S-1W,Resolve Exploration Corp.,Brink #1,"330'N line, 520'E line of SE NE",WI,204727,1.21892E+11,Yankeetow,Jan-20
517,White,32-3S-14W,"Campbell Energy, LLC","Hon, C. #3-PO","673'S line, 330'W line of SE SE",OIL,66193,1.21933E+11,Fort Payne,Jan-20
518,White,33-3S-14W,"Campbell Energy, LLC",Bump #16,"675'S line, 330'W line of NW NW",OIL,66192,1.21933E+11,Ullin,Jan-20
519,White,17-4S-14W,"Campbell Energy, LLC",Bramlet #12,"660'S line, 330'W line of SW SE",WI,204718,1.2193E+11,Fort Payne,Jan-20
520,White,27-4S-14W,Citation Oil & Gas Corp.,"Ford, H. C. #C-11","1005'S line, 330'W line of SW",OIL,66190,1.2193E+11,Ullin,Jan-20
521,White,34-4S-14W,Citation Oil & Gas Corp.,"Ford, H. C. #D-24","1880'N line, 330'E line of NW",OIL,66189,1.21933E+11,Ullin,Jan-20
